no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
11,복정역공영주차장,363,183,2020-09-21 08,15
12,사당노외,184,92,2020-09-21 08,15
13,서린노외주차장,38,28,2020-09-21 08,15
14,세종로,1260,1043,2020-09-21 08,15
15,수락산역,157,76,2020-09-21 08,15
16,수서역남,18,-1,2020-09-21 08,15
17,수서역북주차장,553,292,2020-09-21 08,15
18,신대방역,60,25,2020-09-21 08,15
19,신방화역,199,64,2020-09-21 08,15
20,신천유수지주차장,164,132,2020-09-21 08,15
21,영등포구청역,137,57,2020-09-21 08,15
22,용산주차빌딩,561,355,2020-09-21 08,15
23,잠실역주차장,346,72,2020-09-21 08,15
24,적선노외,28,24,2020-09-21 08,15
25,종묘,1317,854,2020-09-21 08,15
26,천왕역,328,184,2020-09-21 08,15
27,천호역,1432,652,2020-09-21 08,15
28,학여울역,180,102,2020-09-21 08,15
29,한강진역,176,106,2020-09-21 08,15
30,화랑대역주차장,319,110,2020-09-21 08,15
31,훈련원공원,873,516,2020-09-21 08,15
1,DDP동측(양쪽),20,20,2020-09-21 09,16
2,웃우물공영,79,20,2020-09-21 09,16
3,가양라이품,38,14,2020-09-21 09,16
4,개화산역주차장,322,106,2020-09-21 09,16
5,개화역,483,98,2020-09-21 09,16
6,구로디지털단지역,92,36,2020-09-21 09,16
7,구파발역,399,155,2020-09-21 09,16
8,장안2동,80,37,2020-09-21 09,16
9,동대문공영주차장,1092,927,2020-09-21 09,16
10,마포유수지주차장,505,234,2020-09-21 09,16
11,복정역공영주차장,363,97,2020-09-21 09,16
12,사당노외,184,83,2020-09-21 09,16
13,서린노외주차장,38,19,2020-09-21 09,16
14,세종로,1260,901,2020-09-21 09,16
15,수락산역,157,52,2020-09-21 09,16
16,수서역남,18,0,2020-09-21 09,16
17,수서역북주차장,553,196,2020-09-21 09,16
18,신대방역,60,21,2020-09-21 09,16
19,신방화역,199,31,2020-09-21 09,16
20,신천유수지주차장,164,82,2020-09-21 09,16
21,영등포구청역,137,34,2020-09-21 09,16
22,용산주차빌딩,561,267,2020-09-21 09,16
23,잠실역주차장,346,37,2020-09-21 09,16
24,적선노외,28,10,2020-09-21 09,16
