no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
22,용산주차빌딩,561,79,2020-11-02 12,13
23,잠실역주차장,346,100,2020-11-02 12,13
24,적선노외,11,-15,2020-11-02 12,13
25,종묘,1317,194,2020-11-02 12,13
26,천왕역,328,1,2020-11-02 12,13
27,천호역,1432,35,2020-11-02 12,13
28,학여울역,180,51,2020-11-02 12,13
29,한강진역,176,50,2020-11-02 12,13
30,화랑대역주차장,319,-1,2020-11-02 12,13
31,훈련원공원,873,139,2020-11-02 12,13
1,DDP동측(양쪽),20,20,2020-11-02 13,13
2,웃우물공영,79,27,2020-11-02 13,13
3,가양라이품,38,0,2020-11-02 13,13
4,개화산역주차장,322,16,2020-11-02 13,13
5,개화역,483,71,2020-11-02 13,13
6,구로디지털단지역,92,47,2020-11-02 13,13
7,구파발역,399,75,2020-11-02 13,13
8,장안2동,80,33,2020-11-02 13,13
9,동대문공영주차장,1092,848,2020-11-02 13,13
10,마포유수지주차장,505,190,2020-11-02 13,13
11,복정역공영주차장,363,16,2020-11-02 13,13
12,사당노외,184,55,2020-11-02 13,13
13,서린노외주차장,38,19,2020-11-02 13,13
14,세종로,1260,741,2020-11-02 13,13
15,수락산역,157,4,2020-11-02 13,13
16,수서역남,18,1,2020-11-02 13,13
17,수서역북주차장,553,74,2020-11-02 13,13
18,신대방역,60,7,2020-11-02 13,13
19,신방화역,199,42,2020-11-02 13,13
20,신천유수지주차장,164,46,2020-11-02 13,13
21,영등포구청역,137,23,2020-11-02 13,13
22,용산주차빌딩,561,83,2020-11-02 13,13
23,잠실역주차장,346,90,2020-11-02 13,13
24,적선노외,11,-15,2020-11-02 13,13
25,종묘,1317,141,2020-11-02 13,13
26,천왕역,328,0,2020-11-02 13,13
27,천호역,1432,50,2020-11-02 13,13
28,학여울역,180,50,2020-11-02 13,13
29,한강진역,176,32,2020-11-02 13,13
30,화랑대역주차장,319,6,2020-11-02 13,13
31,훈련원공원,873,115,2020-11-02 13,13
1,DDP동측(양쪽),20,20,2020-11-02 14,14
2,웃우물공영,79,26,2020-11-02 14,14
3,가양라이품,38,1,2020-11-02 14,14
4,개화산역주차장,322,19,2020-11-02 14,14
5,개화역,483,80,2020-11-02 14,14
6,구로디지털단지역,92,47,2020-11-02 14,14
7,구파발역,399,86,2020-11-02 14,14
8,장안2동,80,38,2020-11-02 14,14
